epoch,loss,psnr,val_loss,val_psnr
0,158.4873568725586,10.083693437576294,125.3776351928711,10.911058807373047
1,129.1572801208496,11.834515624046325,112.8451904296875,12.809827613830567
2,112.89555480957031,14.329904298782349,93.48770141601562,14.962584114074707
3,107.38437034606933,15.446056680679321,92.97781219482422,15.158369636535644
4,105.65199516296387,15.846124539375305,93.76447143554688,16.059894180297853
5,104.3707751083374,16.066308083534242,88.03794860839844,16.365992736816406
6,103.71129981994629,16.23805546760559,95.85698699951172,16.349888229370116
7,102.90241470336915,16.445336952209473,85.37029418945312,16.636564636230467
8,99.9902165222168,16.656693539619447,81.72554473876953,17.23296699523926
9,93.84845161437988,17.199177498817445,71.59595031738282,17.094927978515624
10,89.15951435089111,17.46494197845459,74.4158203125,17.395761489868164
11,86.86733083724975,17.570021562576294,76.84439620971679,17.653475952148437
12,85.6633950805664,17.597280893325806,75.67902374267578,17.129096603393556
13,85.34415225982666,17.673417100906374,78.27747344970703,17.146134185791016
14,83.65812263488769,17.762771244049073,86.73174438476562,17.237266540527344
15,82.004517288208,17.921757459640503,78.12073822021485,17.449545669555665
16,81.38187591552735,17.934786586761476,67.88273773193359,17.80965347290039
17,82.61235530853271,17.92907956123352,79.41312103271484,17.328102111816406
18,80.18636669158936,18.01980237007141,76.09772186279297,17.70768165588379
19,79.98393882751465,17.996206407546996,76.22159881591797,17.326983642578124
20,79.27836469650269,18.11042845726013,57.83900756835938,18.02153205871582
21,78.48326734542847,18.15649101257324,84.14279327392578,17.110560607910156
22,79.05572483062744,18.037366857528685,80.25948333740234,17.5347469329834
23,78.68902481079101,18.113133726119994,66.63036346435547,18.131296920776368
24,77.32712720870971,18.217318572998046,53.4684455871582,18.097887420654295
25,77.27714250564576,18.173446435928344,61.56430587768555,17.870183181762695
26,76.79600963592529,18.158279542922973,75.5676483154297,17.47581253051758
27,77.01560628890991,18.181545743942262,55.540469360351565,17.95003471374512
28,76.88909847259521,18.140724210739137,56.60682373046875,18.069022369384765
29,75.85935171127319,18.176109161376953,55.26320877075195,18.367967987060545
30,75.06349534988404,18.250777492523195,55.050045776367185,18.389716720581056
