epoch,loss,val_loss
0,176878267.74074075,12734239.4
1,10189132.370370371,9292559.6
0,943990.1730324074,106975.2046875
1,96865.35387731482,91739.3734375
2,84213.79976851853,66038.21875
3,25354.54709201389,10829.6142578125
4,8691.13623046875,7525.88271484375
5,6759.856372974537,6572.98876953125
6,6101.802625868056,6189.0734375
7,5826.058919270833,5986.158203125
8,5658.014865451389,5855.0431640625
9,5537.993797019676,5757.45458984375
10,5397.752061631944,5590.541796875
11,5274.983091001158,5497.95322265625
12,5205.447247540509,5458.408984375
13,5149.412941261574,5400.33642578125
14,5105.179181134259,5350.1125
15,5060.463523582176,5305.76494140625
0,4038.4524287471063,3844.590625
1,4037.5078034577546,3844.58125
2,4038.678123191551,3844.57373046875
3,4035.6684299045137,3844.584228515625
4,4033.6157859519676,3844.574853515625
5,4033.5059950086807,3844.573193359375
6,4037.141185619213,3844.60380859375
7,4038.3611111111113,3844.5779296875
8,4037.5118543836807,3844.57724609375
9,4038.6679416232637,3844.58662109375
10,4035.6811885127313,3844.58974609375
11,4033.6121057581017,3844.5751953125
12,3896.5865342881943,3508.975244140625
13,2974.787109375,3148.8640625
14,1627.383730287905,2924.876220703125
15,1111.964778193721,2872.726708984375
